date,price
02/01/2020,981
03/01/2020,988
06/01/2020,986
07/01/2020,966
08/01/2020,965
09/01/2020,954
10/01/2020,973
13/01/2020,968
14/01/2020,968
15/01/2020,998
16/01/2020,"1,033.00"
17/01/2020,"1,016.00"
20/01/2020,"1,025.00"
21/01/2020,"1,006.00"
22/01/2020,999
23/01/2020,"1,004.00"
24/01/2020,"1,004.00"
27/01/2020,993
28/01/2020,984
29/01/2020,992
30/01/2020,971
31/01/2020,974
03/02/2020,952
04/02/2020,980
05/02/2020,971
06/02/2020,976
07/02/2020,969
10/02/2020,970
11/02/2020,965
12/02/2020,966
13/02/2020,965
14/02/2020,972
17/02/2020,968
18/02/2020,980
19/02/2020,"1,018.00"
27/02/2020,917
28/02/2020,880
02/03/2020,874
03/03/2020,871
04/03/2020,877
05/03/2020,867
06/03/2020,871
09/03/2020,873
10/03/2020,878
11/03/2020,880
12/03/2020,858
13/03/2020,801
16/03/2020,713
17/03/2020,641
18/03/2020,652
19/03/2020,607
20/03/2020,628
23/03/2020,618
24/03/2020,679
25/03/2020,734
26/03/2020,730
27/03/2020,745
30/03/2020,721
31/03/2020,723
01/04/2020,723
02/04/2020,727
03/04/2020,719
06/04/2020,732
07/04/2020,745
08/04/2020,738
09/04/2020,736
14/04/2020,768
15/04/2020,780
16/04/2020,794
17/04/2020,775
27/04/2020,765
28/04/2020,765
29/04/2020,780
30/04/2020,778
01/05/2020,760
04/05/2020,761
05/05/2020,756
06/05/2020,755
07/05/2020,753
11/05/2020,767
12/05/2020,767
13/05/2020,760
14/05/2020,765
15/05/2020,774
18/05/2020,816
19/05/2020,806
20/05/2020,850
21/05/2020,843
22/05/2020,829
26/05/2020,837
27/05/2020,831
28/05/2020,836
29/05/2020,840
01/06/2020,836
02/06/2020,846
03/06/2020,828
04/06/2020,833
05/06/2020,835
08/06/2020,832
09/06/2020,823
10/06/2020,839
11/06/2020,825
12/06/2020,824
15/06/2020,805
16/06/2020,830
17/06/2020,816
18/06/2020,817
19/06/2020,805
22/06/2020,809
24/06/2020,826
25/06/2020,807
26/06/2020,802
29/06/2020,812
30/06/2020,810
01/07/2020,825
02/07/2020,822
03/07/2020,812
06/07/2020,819
07/07/2020,822
08/07/2020,840
09/07/2020,858
10/07/2020,842
13/07/2020,838
14/07/2020,823
15/07/2020,833
16/07/2020,827
17/07/2020,825
20/07/2020,842
21/07/2020,852
22/07/2020,878
23/07/2020,928
24/07/2020,917
27/07/2020,941
28/07/2020,926
29/07/2020,945
30/07/2020,908
31/07/2020,908
03/08/2020,906
04/08/2020,923
05/08/2020,953
06/08/2020,977
07/08/2020,974
10/08/2020,972
11/08/2020,952
12/08/2020,938
13/08/2020,940
14/08/2020,945
17/08/2020,955
18/08/2020,972
19/08/2020,952
20/08/2020,931
21/08/2020,912
24/08/2020,926
25/08/2020,922
26/08/2020,922
27/08/2020,933
28/08/2020,930
01/09/2020,950
02/09/2020,936
03/09/2020,913
04/09/2020,905
07/09/2020,906
08/09/2020,909
09/09/2020,911
10/09/2020,923
11/09/2020,930
14/09/2020,940
15/09/2020,965
16/09/2020,981
17/09/2020,951
18/09/2020,943
21/09/2020,925
22/09/2020,886
23/09/2020,854
24/09/2020,839
25/09/2020,857
28/09/2020,853
29/09/2020,874
30/09/2020,872
01/10/2020,899
02/10/2020,894
05/10/2020,881
06/10/2020,889
07/10/2020,864
08/10/2020,866
09/10/2020,879
12/10/2020,888
13/10/2020,871
14/10/2020,876
15/10/2020,855
16/10/2020,863
19/10/2020,872
20/10/2020,855
21/10/2020,876
22/10/2020,892
23/10/2020,892
26/10/2020,891
27/10/2020,873
28/10/2020,874
29/10/2020,866
30/10/2020,856
02/11/2020,858
03/11/2020,872
04/11/2020,860
05/11/2020,888
06/11/2020,901
09/11/2020,904
10/11/2020,875
11/11/2020,887
12/11/2020,873
13/11/2020,890
16/11/2020,907
17/11/2020,926
18/11/2020,934
19/11/2020,940
20/11/2020,951
23/11/2020,950
24/11/2020,937
25/11/2020,964
26/11/2020,963
27/11/2020,958
30/11/2020,963
01/12/2020,982
02/12/2020,"1,004.00"
03/12/2020,"1,022.00"
04/12/2020,"1,048.00"
07/12/2020,"1,028.00"
08/12/2020,"1,022.00"
10/12/2020,"1,010.00"
11/12/2020,"1,022.00"
14/12/2020,"1,016.00"
15/12/2020,"1,022.00"
16/12/2020,"1,048.00"
17/12/2020,"1,050.00"
18/12/2020,"1,038.00"
21/12/2020,"1,016.00"
